date,full_text,lower,cleaned,normalized,stopword,steemed,tokens,text_en,vader_compound,vader_label
2019-09-12,Beneran kena 1255 $TINS nya,beneran kena 1255 $tins nya,beneran kena 1255 tins nya,beneran kena 1255 tins nya,beneran kena 1255 tins nya,beneran kena 1255 tins nya,"['beneran', 'kena', '1255', 'tins']","['really', 'hit', '1255', 'tins']",0.0,0
2019-09-12,Harga timah naik $TINS fast trade! https://t.co/CpPFseIqRR,harga timah naik $tins fast trade! https://t.co/cppfseiqrr,harga timah naik tins fast trade,harga timah naik tins fast trade,harga timah naik tins fast trade,harga timah naik tins fast trade,"['harga', 'timah', 'naik', 'tins', 'fast', 'trade']","['price', 'tin', 'rise', 'tins', 'fast', 'trade']",0.4939,2
2019-09-12,Alon alon seng penting kelakon $TINS https://t.co/Vu97QDK3Vv,alon alon seng penting kelakon $tins https://t.co/vu97qdk3vv,alon alon seng penting kelakon tins,pelan pelan yang penting terlaksana tins,pelan yang penting terlaksana tins,pelan yang penting laksana tins,"['pelan', 'penting', 'laksana', 'tins']","['slow', 'important', 'like', 'tins']",0.3612,2
2019-09-12,Nyentuh 1255 lepas aja $TINS nya,nyentuh 1255 lepas aja $tins nya,nyentuh 1255 lepas aja tins nya,nyentuh 1255 lepas aja tins nya,sentuh 1255 lepas aja tins nya,sentuh 1255 lepas aja tins nya,"['sentuh', '1255', 'lepas', 'aja', 'tins', 'nya']","['touch', '1255', 'departed', 'aja', 'tins', 'that']",0.0,0
2019-11-04,$TINS trending mulu ye,$tins trending mulu ye,tins trending mulu ye,tins trending mulu ye,tins trending mulu ye,tins trending mulu ye,"['tins', 'trending', 'mulu', 'ye']","['tins', 'trending', 'mulu', 'ye']",0.0,0
2020-11-20,@TradingDiary2 $INCO $TINS $HRUM $ANTM Mana ajadeh yang paling recommended aja,@tradingdiary2 $inco $tins $hrum $antm mana ajadeh yang paling recommended aja,tradingdiary2 inco tins hrum antm mana ajadeh yang paling recommended aja,tradingdiary2 inco tins hrum antm mana ajadeh yang  paling recommended aja,tradingdiary2 inco tins hrum antm mana ajadeh  paling recommended aja,tradingdiary2 inco tins hrum antm mana ajadeh  paling recommended aja,"['tradingdiary2', 'inco', 'tins', 'hrum', 'antm', 'mana', 'ajadeh', ' paling', 'recommended', 'aja']","['tradingdiary2', 'Inco', 'Tins', 'Hrum', 'Antm', 'Where', 'just', 'Most', 'Recommended', 'Aja']",0.4201,2
2020-11-23,Ez money banget $TLKM - $WOOD - $BBKP - $TINS,ez money banget $tlkm - $wood - $bbkp - $tins,ez money banget tlkm wood bbkp tins,ez money banget tlkm wood bbkp tins,ez money banget tlkm wood bbkp tins,ez money banget tlkm wood bbkp tins,"['ez', 'money', 'banget', 'tlkm', 'wood', 'bbkp', 'tins']","['Ez', 'Money', 'Really', 'Tlkm', 'Wood', 'BBKP', 'Tins']",0.0516,2
2020-11-23,Curhat pagi ini disponsori oleh hilangnya chat WA karena ke reinstal otomatis pdhal pas tidak ada backupnya butuh hape baru memori penuh... @zxcmans beli lah klo mmg butuh dpt lah dari ARA nya $SMBR Bisa ajaaaa ntar baru dpt klo $TINS ARA *ngarep,curhat pagi ini disponsori oleh hilangnya chat wa karena ke reinstal otomatis pdhal pas tidak ada backupnya butuh hape baru memori penuh... @zxcmans beli lah klo mmg butuh dpt lah dari ara nya $smbr bisa ajaaaa ntar baru dpt klo $tins ara *ngarep,curhat pagi ini disponsori oleh hilangnya chat wa karena ke reinstal otomatis pdhal pas tidak ada backupnya butuh hape baru memori penuh zxcmans beli lah klo mmg butuh dpt lah dari ara nya smbr bisa ajaaaa ntar baru dpt klo tins ara ngarep,curhat pagi ini disponsori oleh hilangnya chat wa karena ke reinstal otomatis pdhal pas tidak ada backupnya butuh hape baru memori penuh zxcmans beli lah kalau mmg butuh dpt lah dari naik maksimal nya smbr bisa ajaaaa ntar baru dpt kalau tins naik maksimal ngarep,curhat pagi disponsori hilangnya chat wa ke reinstal otomatis pdhal pas ada backupnya butuh hape baru memori penuh zxcmans beli lah kalau mmg butuh dpt lah naik maksimal nya smbr ajaaaa ntar baru dpt kalau tins naik maksimal ngarep,curhat pagi sponsor hilang chat wa ke reinstal otomatis pdhal pas ada backupnya butuh hape baru memori penuh zxcmans beli lah kalau mmg butuh dpt lah naik maksimal nya smbr ajaaaa ntar baru dpt kalau tins naik maksimal ngarep,"['curhat', 'pagi', 'sponsor', 'hilang', 'chat', 'wa', 'ke', 'reinstal', 'otomatis', 'pdhal', 'pas', 'ada', 'backupnya', 'butuh', 'hape', 'baru', 'memori', 'penuh', 'zxcmans', 'beli', 'lah', 'kalau', 'mmg', 'butuh', 'dpt', 'lah', 'naik', 'maksimal', 'nya', 'smbr', 'ajaaaa', 'ntar', 'baru', 'dpt', 'kalau', 'tins', 'naik', 'maksimal', 'ngarep']","['confide', 'morning', 'sponsor', 'missing', 'chat', 'wa', 'to', 'reinstal', 'automatic', 'pdhal', 'right', 'there', 'backup', 'need', 'cellphone', 'new', 'memory', 'full', 'zxcmans', 'buy' 'DPT', 'Lah', 'Rise', 'Maximum', 'His', 'Smbr', 'Ajaaaa', 'Ntar', 'New', 'DPT', 'if', 'Tins', 'Rise', 'Maximum', 'Maximum', 'Ngarep']",0.8481,2
2020-11-30,@TradingDiary2 Pak $Tins sama $inco bagus tidak buat invest dan masuknya sekarang ?,@tradingdiary2 pak $tins sama $inco bagus tidak buat invest dan masuknya sekarang ?,tradingdiary2 pak tins sama inco bagus tidak buat invest dan masuknya sekarang,tradingdiary2 pak tins sama inco bagus tidak buat invest dan masuknya sekarang,tradingdiary2 pak tins sama inco bagus buat invest masuknya sekarang,tradingdiary2 pak tins sama inco bagus buat invest masuk sekarang,"['tradingdiary2', 'pak', 'tins', 'sama', 'inco', 'bagus', 'buat', 'invest', 'masuk', 'sekarang']","['tradingdiary2', 'sir', 'tins', 'same', 'inco', 'good', 'make', 'invest', 'enter', 'now']",0.4019,2
2020-12-02,B. PERTAMBANGAN : $ADRO $ANTM $BOSS $BRMS $BYAN $ELSA $ENRG $FIRE $HRUM $INCO $ITMG $MDKA $PTBA $PTRO $SMMT $SMRU $TINS $WOWS $ZINC,b. pertambangan : $adro $antm $boss $brms $byan $elsa $enrg $fire $hrum $inco $itmg $mdka $ptba $ptro $smmt $smru $tins $wows $zinc,b pertambangan adro antm boss brms byan elsa enrg fire hrum inco itmg mdka ptba ptro smmt smru tins wows zinc,b pertambangan adro antm boss brms byan elsa enrg fire hrum inco itmg mdka ptba ptro smmt smru tins wows zinc,b pertambangan adro antm boss brms byan elsa enrg fire hrum inco itmg mdka ptba ptro smmt smru tins wows zinc,b tambang adro antm boss brms byan elsa enrg fire hrum inco itmg mdka ptba ptro smmt smru tins wows zinc,"['b', 'tambang', 'adro', 'antm', 'boss', 'brms', 'byan', 'elsa', 'enrg', 'fire', 'hrum', 'inco', 'itmg', 'mdka', 'ptba', 'ptro', 'smmt', 'smru', 'tins', 'wows', 'zinc']","[B ',' Tambang ',' Adro ',' AntM ',' Boss', 'BRMS', 'byan', 'Elsa', 'Enrg', 'Fire', 'Hrum', 'Inco', 'Itmg', 'MDKA', 'PTBA', 'PTRO', 'SMMT', 'smru', 'tins', 'wws', 'zinc']",-0.34,1
2020-12-08,$INDY $TINS manteebb sangat daahhh diluar ekspektasii ️️,$indy $tins manteebb sangat daahhh diluar ekspektasii ️️,indy tins manteebb sangat daahhh diluar ekspektasii,indy tins mantap banget daahhh diluar ekspektasii,indy tins mantap banget daahhh diluar ekspektasii,indy tins mantap banget daahhh luar ekspektasii,"['indy', 'tins', 'mantap', 'banget', 'luar', 'ekspektasii']","['Indy', 'Tins', 'Great', 'Really', 'Outside', 'Expectation']",0.4703,2
2020-12-16,Ayo @kaesangp $pgas nya gas terus jangan kalah sama $antm &amp; $tins ,ayo @kaesangp $pgas nya gas terus jangan kalah sama $antm &amp; $tins ,ayo kaesangp pgas nya gas terus jangan kalah sama antm amp tins,ayo kaesangp pgas nya gas terus jangan kalah sama antm amp tins,ayo kaesangp pgas nya gas terus jangan kalah sama antm amp tins,ayo kaesangp pgas nya gas terus jangan kalah sama antm amp tins,"['ayo', 'kaesangp', 'pgas', 'nya', 'gas', 'terus', 'jangan', 'kalah', 'sama', 'antm', 'amp', 'tins']","['Come on', 'Kaesangp', 'PGAS', 'His', 'Gas', 'Continue', 'Don't', 'Lose', 'Same', 'Antm', 'Amp', 'Tins']",0.2584,2
2020-12-16,@jejekayy Jangan lupain temen nya juga $tins ️,@jejekayy jangan lupain temen nya juga $tins ️,jejekayy jangan lupain temen nya juga tins,jejekayy jangan lupain temen nya juga tins,jejekayy jangan lupain temen nya tins,jejekayy jangan lupain temen nya tins,"['jejekayy', 'jangan', 'lupain', 'temen', 'nya', 'tins']","['Jejekayy', 'Don't', 'forget', 'friends', 'his', 'tins']",-0.2235,1
2020-12-16,@hayaaliyazaki Iya $ANTM dah jual $TINS juga masih hold ,@hayaaliyazaki iya $antm dah jual $tins juga masih hold ,hayaaliyazaki iya antm dah jual tins juga masih hold,hayaaliyazaki iya antm dah jual tins juga masih tahan,hayaaliyazaki iya antm dah jual tins masih tahan,hayaaliyazaki iya antm dah jual tins masih tahan,"['hayaaliyazaki', 'iya', 'antm', 'dah', 'jual', 'tins', 'masih', 'tahan']","['Hayaaliyazaki', 'Yes', 'Antm', 'Dah', 'Sell', 'Tins', 'Still', 'Hold']",0.3612,2
2020-12-16,yangnyangkut di $tins sama $antm yangtabah ok,yangnyangkut di $tins sama $antm yangtabah ok,yangnyangkut di tins sama antm yangtabah ok,yang nyangkut di tins sama antm yang tabah ok,nyangkut tins sama antm tabah,nyangkut tins sama antm tabah,"['nyangkut', 'tins', 'sama', 'antm', 'tabah']","['nyout', 'nons', 'antm', 'tabah']",0.0,0
2020-12-16,Window dressing ini bikin geleng2 memang.... $MYOR $PGAS $TINS $TLKM ,window dressing ini bikin geleng2 memang.... $myor $pgas $tins $tlkm ,window dressing ini bikin geleng2 memang myor pgas tins tlkm,window dressing ini bikin geleng2 memang myor pgas tins tlkm,window dressing bikin geleng2 memang myor pgas tins tlkm,window dressing bikin geleng2 memang myor pgas tins tlkm,"['window', 'dressing', 'bikin', 'geleng2', 'memang', 'myor', 'pgas', 'tins', 'tlkm']","['window', 'dressing', 'make', 'shake', 'indeed', 'Myor', 'PGAS', 'Tins', 'Tlkm']",-0.1779,1
2020-12-16,$jpfa $tins $antm $pgas terima kasih buat tiket bali PP nya,$jpfa $tins $antm $pgas terima kasih buat tiket bali pp nya,jpfa tins antm pgas terima kasih buat tiket bali pp nya,jpfa tins antm pgas terima kasih buat tiket bali pp nya,jpfa tins antm pgas terima kasih buat tiket bali pp nya,jpfa tins antm pgas terima kasih buat tiket bal pp nya,"['jpfa', 'tins', 'antm', 'pgas', 'terima', 'kasih', 'buat', 'tiket', 'bal', 'pp', 'nya']","['jpfa', 'tins', 'antm', 'pgas', 'accept', 'love', 'make', 'ticket', 'bal', 'pp', 'its']",0.7783,2
2020-12-23,@mediocrickey $TINS masih g ada tanda2 turun wkwk. Kalo $ZINC saya masih nyangkut tuh ,@mediocrickey $tins masih g ada tanda2 turun wkwk. kalo $zinc saya masih nyangkut tuh ,mediocrickey tins masih g ada tanda2 turun wkwk kalo zinc saya masih nyangkut tuh,mediocrickey tins masih g ada tanda2 turun wkwk kalo zinc saya masih nyangkut tuh,mediocrickey tins g tanda2 turun wkwk kalo zinc masih nyangkut tuh,mediocrickey tins g tanda2 turun wkwk kalo zinc masih nyangkut tuh,"['mediocrickey', 'tins', 'g', 'tanda2', 'turun', 'wkwk', 'kalo', 'zinc', 'masih', 'nyangkut', 'tuh']","['mediocryy, 'g', 'sk2', 'worrow', 'wkwk', 'wome', 'hin', breach', 'ynut', 'yu transport', 'tuh'",0.0,0
2020-12-28,Subhanallaaah $ANTM ama $TINS gua udah abis kemareeen ,subhanallaaah $antm ama $tins gua udah abis kemareeen ,subhanallaaah antm ama tins gua udah abis kemareeen,subhanallaaah antm ama tins saya udah abis kemareeen,subhanallaaah antm ama tins udah abis kemareeen,subhanallaaah antm ama tins udah abis kemareeen,"['subhanallaaah', 'antm', 'ama', 'tins', 'udah', 'abis', 'kemareeen']","['Subhanallaaah', 'Antm', 'ama', 'tins', 'already', 'after', 'yesterday']",0.0,0
2020-12-28,Beli $TINS di harga 1000 pengen nambah tapi kayanya dah telat banget ,beli $tins di harga 1000 pengen nambah tapi kayanya dah telat banget ,beli tins di harga 1000 pengen nambah tapi kayanya dah telat banget,beli tins di harga 1000 ingin nambah tapi kayanya dah telat banget,beli tins harga 1000 nambah kayanya dah telat banget,beli tins harga 1000 nambah kaya dah telat banget,"['beli', 'tins', 'harga', '1000', 'nambah', 'kaya', 'dah', 'telat', 'banget']","['buy', 'tins', 'price', '1000', 'add', 'rich', 'dah', 'square', 'banget']",0.7003,2
2020-12-28,Day 4. Kesabaran dengan pemilihan waktu yang tepat. $TINS FP 2.8%hold untuk target 1600 up $EXCL hold untuk target 3000 $HKMU hold untuk traget 150 dan avg down di 115 $PGAS FP 1.9% hold untuk target 2000 https://t.co/pc36mB3UTD,day 4. kesabaran dengan pemilihan waktu yang tepat. $tins fp 2.8%hold untuk target 1600 up $excl hold untuk target 3000 $hkmu hold untuk traget 150 dan avg down di 115 $pgas fp 1.9% hold untuk target 2000 https://t.co/pc36mb3utd,day 4 kesabaran dengan pemilihan waktu yang tepat tins fp 28hold untuk target 1600 up excl hold untuk target 3000 hkmu hold untuk traget 150 dan avg down di 115 pgas fp 19 hold untuk target 2000,day 4 kesabaran dengan pemilihan waktu yang tepat tins fp 28hold untuk target 1600 up excl tahan untuk target 3000 hkmu tahan untuk traget 150 dan avg down di 115 pgas fp 19 tahan untuk target 2000,day 4 kesabaran pemilihan waktu tepat tins fp 28hold target 1600 up excl tahan target 3000 hkmu tahan traget 150 avg down 115 pgas fp 19 tahan target 2000,day 4 sabar pilih waktu tepat tins fp 28hold target 1600 up excl tahan target 3000 hkmu tahan traget 150 avg down 115 pgas fp 19 tahan target 2000,"['day', '4', 'sabar', 'pilih', 'waktu', 'tepat', 'tins', 'fp', '28hold', 'target', '1600', 'up', 'excl', 'tahan', 'target', '3000', 'hkmu', 'tahan', 'traget', '150', 'avg', 'down', '115', 'pgas', 'fp', '19', 'tahan', 'target', '2000']","['day', '4', 'patience', 'select', 'time', 'right', 'tins', 'fp', '28hold', 'target', '1600', 'up', 'excl', 'resist', 'target', '3000', 'Hkmu', 'resistant' 'FP', '19', 'Hold', 'Target', '2000']",0.5267,2
2020-12-28,$TINS Sell 30% lot di FP 2.5% untuk menjaga buying power https://t.co/o2Y5OwxW3N,$tins sell 30% lot di fp 2.5% untuk menjaga buying power https://t.co/o2y5owxw3n,tins sell 30 lot di fp 25 untuk menjaga buying power,tins sell 30 lot di fp 25 untuk menjaga buying power,tins sell 30 lot fp 25 menjaga buying power,tins sell 30 lot fp 25 jaga buying power,"['tins', 'sell', '30', 'lot', 'fp', '25', 'jaga', 'buying', 'power']","['tins', 'sell', '30', 'lot', 'fp', '25', 'guard', 'buying', 'power']",-0.1779,1
2021-01-04,$TINS gak kena sentimen mobil listrik apa?,$tins gak kena sentimen mobil listrik apa?,tins gak kena sentimen mobil listrik apa,tins tidak kena sentimen mobil listrik apa,tins kena sentimen mobil listrik apa,tins kena sentimen mobil listrik apa,"['tins', 'kena', 'sentimen', 'mobil', 'listrik', 'apa']","['tins', 'hit', 'sentiment', 'car', 'electric', 'what']",0.0,0
2021-01-05,yak siapa yang kegocek wkwkwk $TINS $ANTM $DUCK $IHSG https://t.co/SwWsGPTUaJ,yak siapa yang kegocek wkwkwk $tins $antm $duck $ihsg https://t.co/swwsgptuaj,yak siapa yang kegocek wkwkwk tins antm duck ihsg,yak siapa yang tertipu wkwkwk tins antm duck ihsg,yak siapa tertipu wkwkwk tins antm duck ihsg,yak siapa tipu wkwkwk tins antm duck ihsg,"['yak', 'siapa', 'tipu', 'wkwkwk', 'tins', 'antm', 'duck', 'ihsg']","['yak', 'who', 'trickery', 'wkwkwk', 'tins', 'antm', 'duck', 'ihsg']",-0.2732,1
2021-01-05,Lope yu lah buat kalian $antm $tins tidak pernah ngecewain tidak kaya si dia,lope yu lah buat kalian $antm $tins tidak pernah ngecewain tidak kaya si dia,lope yu lah buat kalian antm tins tidak pernah ngecewain tidak kaya si dia,lope yu lah buat kalian antm tins tidak pernah ngecewain tidak kaya si dia,lope yu lah buat kalian antm tins pernah ngecewain kaya si,lope yu lah buat kalian antm tins pernah ngecewain kaya si,"['lope', 'yu', 'lah', 'buat', 'kalian', 'antm', 'tins', 'pernah', 'ngecewain', 'kaya', 'si']","[lope', 'yah', 'get', 'take', 'the time', 'tis', 'engine', 'encen', 'rice', 'rice', 'the']",0.0516,2
2021-01-05,@edooodoe Wahah thank you kamu juga congrats dpt ARA seneng banget tadi pagi jualan $TINS 10% sore $INAF terbang ,@edooodoe wahah thank you kamu juga congrats dpt ara seneng banget tadi pagi jualan $tins 10% sore $inaf terbang ,edooodoe wahah thank you kamu juga congrats dpt ara seneng banget tadi pagi jualan tins 10 sore inaf terbang,edooodoe wahah thank you kamu juga congrats dpt naik maksimal seneng banget tadi pagi jualan tins 10 sore inaf naik,edooodoe wahah thank you kamu congrats dpt naik maksimal seneng banget tadi pagi jualan tins 10 sore inaf naik,edooodoe wahah thank you kamu congrats dpt naik maksimal neng banget tadi pagi jual tins 10 sore inaf naik,"['edooodoe', 'wahah', 'thank', 'you', 'km', 'congrats', 'dpt', 'naik', 'maksimal', 'neng', 'banget', 'tadi', 'pagi', 'jual', 'tins', '10', 'sore', 'inaf', 'naik']","['Edooodoe', 'Wahah', 'Thank', 'You', 'Km', 'Congrats', 'DPT', 'DPT', 'Rise', 'Maximum', 'Neng', 'Really', 'Earlier', 'Morning', 'Selling', 'Tins', '10', 'Afternoon', 'Inaf', 'Rise']",0.8779,2
2021-01-06,$TINS merupakan HTF yangsaya maksud tadi malam. Tapi perlu hati2 juga ya. Baca penjelasannya... Penjelasannya Chart 1. HTF nya adalah TINS... walaupun udah breakout tapi kita belom hari Jumat. Bisa aja hari Jumat candlenya closing dibawah garis breakout. 1/4 https://t.co/KWfZEhgdlk,$tins merupakan htf yangsaya maksud tadi malam. tapi perlu hati2 juga ya. baca penjelasannya... penjelasannya chart 1. htf nya adalah tins... walaupun udah breakout tapi kita belom hari jumat. bisa aja hari jumat candlenya closing dibawah garis breakout. 1/4 https://t.co/kwfzehgdlk,tins merupakan htf yangsaya maksud tadi malam tapi perlu hati2 juga ya baca penjelasannya penjelasannya chart 1 htf nya adalah tins walaupun udah breakout tapi kita belom hari jumat bisa aja hari jumat candlenya closing dibawah garis breakout 14,tins merupakan htf yang saya maksud tadi malam tapi perlu hati2 juga ya baca penjelasannya penjelasannya chart 1 htf nya adalah tins walaupun udah naik kuat tapi kita belom hari jumat bisa aja hari jumat candlenya closing dibawah garis naik kuat 14,tins merupakan htf saya maksud tadi malam perlu hati2 ya baca penjelasannya penjelasannya chart 1 htf nya tins walaupun udah naik kuat kita belom hari jumat aja hari jumat candlenya closing dibawah garis naik kuat 14,tins rupa htf saya maksud tadi malam perlu hati2 ya baca jelas jelas chart 1 htf nya tins walaupun udah naik kuat kita bom hari jumat aja hari jumat candlenya closing bawah garis naik kuat 14,"['tins', 'rupa', 'htf', 'saya', 'maksud', 'tadi', 'malam', 'perlu', 'hati2', 'ya', 'baca', 'jelas', 'jelas', 'chart', '1', 'htf', 'nya', 'tins', 'walaupun', 'udah', 'naik', 'kuat', 'kita', 'bom', 'hari', 'jumat', 'aja', 'hari', 'jumat', 'candlenya', 'closing', 'bawah', 'garis', 'naik', 'kuat', '14']","['tins', 'appearance', 'htf', 'me', 'intention', 'earlier', 'night', 'need', 'be careful', 'yes', 'read', 'clear', 'clear', 'chart', '1', 'htf', 'his', 'tins', 'tins', 'already', 'up' 'Just', 'Day', 'Friday', 'Candlenya', 'Closing', 'Lower', 'Line', 'Line', 'Rise', 'Strong', '14']",0.8807,2
